timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1582005826.7273252,1 2 3,2 3 1,muscle,shoutout,1.8733899593353271,1.00,False,False
1582005828.8448458,1 2 3,1 3 2,muscle,weightlifting,2.077380895614624,1.00,False,False
1582005830.927645,1 2 3,3 2 1,muscle,muscle,2.0363929271698,1.00,True,False
1582005832.9970458,1 2 3,2 1 3,muscle,shoutout,2.028921604156494,1.00,False,False
1582005835.0856822,1 2 3,1 3 2,muscle,shoutout,2.041182041168213,1.00,False,False
1582005837.197992,1 2 3,1 2 3,muscle,shoutout,2.0422446727752686,1.00,False,True
1582005839.2979343,1 2 3,3 1 2,muscle,shoutout,2.080242156982422,1.00,False,False
1582005841.3483799,1 2 3,2 3 1,muscle,shoutout,2.0055124759674072,1.00,False,False
1582005843.4160542,1 2 3,2 3 1,muscle,shoutout,2.031771421432495,1.00,False,False
1582005845.4914882,1 2 3,2 3 1,muscle,shoutout,2.0099916458129883,1.00,False,False
1582005847.545523,1 2 3,2 3 1,muscle,shoutout,2.0328164100646973,1.00,False,False
1582005849.636796,1 2 3,2 1 3,muscle,shoutout,2.048877477645874,1.00,False,False
1582005851.7218072,1 2 3,1 3 2,muscle,shoutout,2.0273520946502686,1.00,False,False
1582005853.8142445,1 2 3,1 2 3,muscle,shoutout,2.0331101417541504,1.00,False,True
1582005855.846405,1 2 3,1 2 3,muscle,shoutout,1.9872801303863525,1.00,False,True
1582005857.9705536,1 2 3,3 1 2,muscle,shoutout,2.0843665599823,1.00,False,False
1582005860.0854237,1 2 3,3 2 1,muscle,shoutout,2.046238899230957,1.00,False,False
1582005862.1470177,1 2 3,2 1 3,muscle,shoutout,1.9556574821472168,1.00,False,False
1582005864.2193995,1 2 3,1 2 3,muscle,shoutout,2.0233099460601807,1.00,False,True
1582005866.2764912,1 2 3,1 2 3,muscle,shoutout,1.999143362045288,1.00,False,True
1582005868.381833,1 2 3,3 1 2,muscle,shoutout,2.0644588470458984,1.00,False,False
1582005870.4708047,1 2 3,1 2 3,muscle,shoutout,2.060955286026001,1.00,False,True
1582005872.553838,1 2 3,2 1 3,muscle,shoutout,2.0264780521392822,1.00,False,False
1582005874.631651,1 2 3,3 1 2,muscle,shoutout,2.0373575687408447,1.00,False,False
1582005876.7356567,1 2 3,3 1 2,muscle,shoutout,2.0409293174743652,1.00,False,False
1582005878.831648,1 2 3,1 2 3,muscle,shoutout,2.034219264984131,1.00,False,True
1582005880.9447918,1 2 3,2 3 1,muscle,shoutout,2.042079210281372,1.00,False,False
1582005883.037494,1 2 3,1 3 2,muscle,shoutout,2.0191948413848877,1.00,False,False
1582005885.119895,1 2 3,2 1 3,muscle,shoutout,2.0245144367218018,1.00,False,False
1582005887.1543486,1 2 3,3 1 2,muscle,shoutout,1.9740242958068848,1.00,False,False
1582005889.2147415,1 2 3,3 1 2,muscle,shoutout,2.0180130004882812,1.00,False,False
1582005891.2895854,1 2 3,2 1 3,muscle,shoutout,2.035557746887207,1.00,False,False
1582005893.3472197,1 2 3,2 3 1,muscle,shoutout,1.995246410369873,1.00,False,False
1582005895.403261,1 2 3,1 2 3,muscle,shoutout,2.0071680545806885,1.00,False,True
1582005897.46606,1 2 3,2 3 1,muscle,shoutout,2.001429557800293,1.00,False,False
1582005899.5499408,1 2 3,1 2 3,muscle,shoutout,2.0375707149505615,1.00,False,True
1582005901.6376915,1 2 3,1 3 2,muscle,shoutout,2.0417916774749756,1.00,False,False
1582005903.7223878,1 2 3,2 1 3,muscle,shoutout,2.018376350402832,1.00,False,False
1582005905.80331,1 2 3,2 3 1,muscle,shoutout,2.0196375846862793,1.00,False,False
1582005907.8828166,1 2 3,3 2 1,muscle,shoutout,2.0332183837890625,1.00,False,False
1582005909.9854498,1 2 3,2 3 1,muscle,shoutout,2.0543229579925537,1.00,False,False
1582005912.0673141,1 2 3,1 2 3,muscle,shoutout,2.034259796142578,1.00,False,True
1582005914.2024233,1 2 3,1 2 3,muscle,shoutout,2.094705104827881,1.00,False,True
1582005916.2485778,1 2 3,3 1 2,muscle,shoutout,1.8911840915679932,1.00,False,False
1582005918.3511608,1 2 3,2 3 1,muscle,shoutout,2.0793919563293457,1.00,False,False
1582005920.4045851,1 2 3,2 3 1,muscle,shoutout,2.0192055702209473,1.00,False,False
1582008644.5754976,1 2 3,3 1 2,muscle,shoutout,0.5385286808013916,1.00,False,False
1582008646.6512318,1 2 3,2 3 1,muscle,weightlifting,2.0158495903015137,1.00,False,False
1582008648.708096,1 2 3,2 3 1,muscle,muscle,2.016043186187744,1.00,True,False
1582008650.7868726,1 2 3,3 1 2,muscle,shoutout,2.0417072772979736,1.00,False,False
1582008652.8552074,1 2 3,1 2 3,muscle,weightlifting,2.0280115604400635,1.00,False,True
1582008654.9095101,1 2 3,3 2 1,muscle,shoutout,1.9930143356323242,1.00,False,False
1582008656.9471693,1 2 3,3 1 2,muscle,weightlifting,1.995293140411377,1.00,False,False
1582008659.0219998,1 2 3,3 2 1,muscle,shoutout,2.0374553203582764,1.00,False,False
1582008661.076362,1 2 3,1 2 3,muscle,muscle,2.013941526412964,1.00,True,True
1582008663.1408105,1 2 3,1 3 2,muscle,weightlifting,2.021329879760742,1.00,False,False
1582008665.2202537,1 2 3,2 1 3,muscle,weightlifting,2.033417224884033,1.00,False,False
1582008667.305154,1 2 3,3 1 2,muscle,shoutout,2.0386314392089844,1.00,False,False
1582008727.3784215,None,2 1 3,None,shoutout,60.006431102752686,0,False,False
